date,v2ProductCategory,count
2016-11-09,Apparel/Kid's/Kid's-Toddler/,726
2016-11-09,Apparel/Kid's/Kids-Youth/,456
2016-11-09,Apparel/Men's/,2004
2016-11-09,Apparel/Men's/Men's-Outerwear/,2855
2016-11-09,Apparel/Men's/Men's-Performance Wear/,797
2016-11-09,Apparel/Men's/Men's-T-Shirts/,7874
2016-11-09,Apparel/Women's/,1301
2016-11-09,Apparel/Women's/Women's-Outerwear/,1607
2016-11-09,Apparel/Women's/Women's-Performance Wear/,337
2016-11-09,Apparel/Women's/Women's-T-Shirts/,3562
2016-11-09,Bags/,3059
2016-11-09,Bags/Backpacks/,2019
2016-11-09,Bags/More Bags/,780
2016-11-09,Bags/Shopping and Totes/,802
2016-11-09,Drinkware/,3267
2016-11-09,Drinkware/Mugs and Cups/,813
2016-11-09,Drinkware/Water Bottles and Tumblers/,2728
2016-11-09,Electronics/,3573
2016-11-09,Electronics/Audio/,1900
2016-11-09,Electronics/Electronics Accessories/,1467
2016-11-09,Electronics/Flashlights/,501
2016-11-09,Electronics/Power/,842
2016-11-09,Gift Cards/,148
2016-11-09,Office/,3715
2016-11-09,Office/Notebooks & Journals/,2957
2016-11-09,Office/Office Other/,568
2016-11-09,Office/Writing Instruments/,2240
2016-11-09,Shop by Brand/,604
2016-11-09,Shop by Brand/Android/,1406
2016-11-09,Shop by Brand/Google/,3196
2016-11-09,Shop by Brand/YouTube/,4360
2016-11-09,Lifestyle,290
2016-11-09,Lifestyle/,39
2016-11-09,Office,763
2016-11-09,Waze,4
2016-11-09,Wearables/Men's T-Shirts/,36
2016-11-10,Accessories,6
2016-11-10,Apparel,1083
2016-11-10,Backpacks,20
2016-11-10,Bags,197
2016-11-10,Bottles,1
2016-11-10,Drinkware,374
2016-11-10,Electronics,200
2016-11-10,Headgear,24
2016-11-10,Accessories/,3128
2016-11-10,Accessories/Fun/,3963
2016-11-10,Accessories/Housewares/,1168
2016-11-10,Accessories/Pet/,307
2016-11-10,Accessories/Sports & Fitness/,346
2016-11-10,Accessories/Stickers/,922
2016-11-10,Apparel/,7103
2016-11-10,Apparel/Headgear/,1829
2016-11-10,Apparel/Kid's/,174
2016-11-10,Apparel/Kid's/Kid's-Infant/,856
2016-11-10,Apparel/Kid's/Kid's-Toddler/,464
2016-11-10,Apparel/Kid's/Kids-Youth/,527
2016-11-10,Apparel/Men's/,2074
2016-11-10,Apparel/Men's/Men's-Outerwear/,3725
2016-11-10,Apparel/Men's/Men's-Performance Wear/,1134
2016-11-10,Apparel/Men's/Men's-T-Shirts/,10274
2016-11-10,Apparel/Women's/,1901
2016-11-10,Apparel/Women's/Women's-Outerwear/,1505
2016-11-10,Apparel/Women's/Women's-Performance Wear/,643
2016-11-10,Apparel/Women's/Women's-T-Shirts/,4204
2016-11-10,Bags/,3187
2016-11-10,Bags/Backpacks/,2247
2016-11-10,Bags/More Bags/,1141
2016-11-10,Bags/Shopping and Totes/,520
2016-11-10,Drinkware/,4029
2016-11-10,Drinkware/Mugs and Cups/,696
2016-11-10,Drinkware/Water Bottles and Tumblers/,2653
2016-11-10,Electronics/,3315
2016-11-10,Electronics/Audio/,1880
2016-11-10,Electronics/Electronics Accessories/,1501
2016-11-10,Electronics/Flashlights/,542
2016-11-10,Electronics/Power/,852
2016-11-10,Gift Cards/,94
2016-11-10,Office/,4648
2016-11-10,Office/Notebooks & Journals/,2262
2016-11-10,Office/Office Other/,428
2016-11-10,Office/Writing Instruments/,1879
2016-11-10,Shop by Brand/,900
2016-11-10,Shop by Brand/Android/,1217
2016-11-10,Shop by Brand/Google/,2849
2016-11-10,Shop by Brand/YouTube/,6997
2016-11-10,Lifestyle,116
2016-11-10,Lifestyle/,74
2016-11-10,More Bags,12
2016-11-10,Office,549
2016-11-10,Waze,2
2016-11-11,Apparel,483
2016-11-11,Backpacks,30
2016-11-11,Bags,72
2016-11-11,Bottles,2
2016-11-11,Drinkware,130
2016-11-11,Electronics,38
2016-11-11,Headgear,36
2016-11-11,Accessories/,3666
2016-11-11,Accessories/Fun/,2730
2016-11-11,Accessories/Housewares/,693
2016-11-11,Accessories/Pet/,216
2016-11-11,Accessories/Sports & Fitness/,210
2016-11-11,Accessories/Stickers/,783
2016-11-11,Apparel/,5518
2016-11-11,Apparel/Headgear/,1420
2016-11-11,Apparel/Kid's/,230
2016-11-11,Apparel/Kid's/Kid's-Infant/,752
2016-11-11,Apparel/Kid's/Kid's-Toddler/,566
2016-11-11,Apparel/Kid's/Kids-Youth/,703
2016-11-11,Apparel/Men's/,1798
2016-11-11,Apparel/Men's/Men's-Outerwear/,3439
2016-11-11,Apparel/Men's/Men's-Performance Wear/,932
2016-11-11,Apparel/Men's/Men's-T-Shirts/,6703
2016-11-11,Apparel/Women's/,1018
2016-11-11,Apparel/Women's/Women's-Outerwear/,1486
2016-11-11,Apparel/Women's/Women's-Performance Wear/,564
2016-11-11,Apparel/Women's/Women's-T-Shirts/,2715
2016-11-11,Bags/,2912
2016-11-11,Bags/Backpacks/,1824
2016-11-11,Bags/More Bags/,802
2016-11-11,Bags/Shopping and Totes/,627
2016-11-11,Drinkware/,3871
2016-11-11,Drinkware/Mugs and Cups/,500
2016-11-11,Drinkware/Water Bottles and Tumblers/,2130
2016-11-11,Electronics/,2887
2016-11-11,Electronics/Audio/,1479
2016-11-11,Electronics/Electronics Accessories/,1057
2016-11-11,Electronics/Flashlights/,332
2016-11-11,Electronics/Power/,578
2016-11-11,Gift Cards/,108
2016-11-11,Office/,4317
2016-11-11,Office/Notebooks & Journals/,1509
2016-11-11,Office/Office Other/,211
2016-11-11,Office/Writing Instruments/,1130
2016-11-11,Shop by Brand/,1010
2016-11-11,Shop by Brand/Android/,1135
2016-11-11,Shop by Brand/Google/,2443
2016-11-11,Shop by Brand/YouTube/,9173
2016-11-11,Housewares,5
2016-11-11,Lifestyle,109
2016-11-11,Lifestyle/,24
2016-11-11,Office,248
2016-11-11,Tumblers,6
2016-11-12,Accessories,2
2016-11-12,Apparel,303
2016-11-12,Backpacks,26
2016-11-12,Bags,47
2016-11-12,Drinkware,70
2016-11-12,Electronics,62
2016-11-12,Accessories/,2192
2016-11-12,Accessories/Fun/,1599
2016-11-12,Accessories/Housewares/,680
2016-11-12,Accessories/Pet/,210
2016-11-12,Accessories/Sports & Fitness/,179
2016-11-12,Accessories/Stickers/,477
2016-11-12,Apparel/,4043
2016-11-12,Apparel/Headgear/,1012
2016-11-12,Apparel/Kid's/,204
2016-11-12,Apparel/Kid's/Kid's-Infant/,555
2016-11-12,Apparel/Kid's/Kid's-Toddler/,547
2016-11-12,Apparel/Kid's/Kids-Youth/,359
2016-11-12,Apparel/Men's/,1304
2016-11-12,Apparel/Men's/Men's-Outerwear/,2114
2016-11-12,Apparel/Men's/Men's-Performance Wear/,507
2016-11-12,Apparel/Men's/Men's-T-Shirts/,5350
2016-11-12,Apparel/Women's/,624
2016-11-12,Apparel/Women's/Women's-Outerwear/,554
2016-11-12,Apparel/Women's/Women's-Performance Wear/,241
2016-11-12,Apparel/Women's/Women's-T-Shirts/,2111
2016-11-12,Bags/,2899
2016-11-12,Bags/Backpacks/,1485
2016-11-12,Bags/More Bags/,618
2016-11-12,Bags/Shopping and Totes/,347
2016-11-12,Drinkware/,3348
2016-11-12,Drinkware/Mugs and Cups/,418
2016-11-12,Drinkware/Water Bottles and Tumblers/,1046
2016-11-12,Electronics/,2238
2016-11-12,Electronics/Audio/,1084
2016-11-12,Electronics/Electronics Accessories/,908
2016-11-12,Electronics/Flashlights/,162
2016-11-12,Electronics/Power/,355
2016-11-12,Gift Cards/,60
2016-11-12,Office/,4857
2016-11-12,Office/Notebooks & Journals/,1181
2016-11-12,Office/Office Other/,181
2016-11-12,Office/Writing Instruments/,844
2016-11-12,Shop by Brand/,846
2016-11-12,Shop by Brand/Android/,1028
2016-11-12,Shop by Brand/Google/,2226
2016-11-12,Shop by Brand/YouTube/,9046
2016-11-12,Housewares,5
2016-11-12,Lifestyle,14
2016-11-12,Lifestyle/,24
2016-11-12,More Bags,20
2016-11-12,Office,171
2016-11-13,Accessories,6
2016-11-13,Apparel,304
2016-11-13,Bags,147
2016-11-13,Bottles,21
2016-11-13,Drinkware,82
2016-11-13,Electronics,78
2016-11-13,Headgear,31
2016-11-13,Accessories/,2214
2016-11-13,Accessories/Fun/,2271
2016-11-13,Accessories/Housewares/,926
2016-11-13,Accessories/Pet/,256
2016-11-13,Accessories/Sports & Fitness/,214
2016-11-13,Accessories/Stickers/,818
2016-11-13,Apparel/,3886
2016-11-13,Apparel/Headgear/,1324
2016-11-13,Apparel/Kid's/,84
2016-11-13,Apparel/Kid's/Kid's-Infant/,448
2016-11-13,Apparel/Kid's/Kid's-Toddler/,467
2016-11-13,Apparel/Kid's/Kids-Youth/,835
2016-11-13,Apparel/Men's/,1341
2016-11-13,Apparel/Men's/Men's-Outerwear/,2510
2016-11-13,Apparel/Men's/Men's-Performance Wear/,841
2016-11-13,Apparel/Men's/Men's-T-Shirts/,6847
2016-11-13,Apparel/Women's/,645
2016-11-13,Apparel/Women's/Women's-Outerwear/,683
2016-11-13,Apparel/Women's/Women's-Performance Wear/,306
2016-11-13,Apparel/Women's/Women's-T-Shirts/,1818
2016-11-13,Bags/,2229
2016-11-13,Bags/Backpacks/,1765
2016-11-13,Bags/More Bags/,734
2016-11-13,Bags/Shopping and Totes/,503
2016-11-13,Drinkware/,2670
2016-11-13,Drinkware/Mugs and Cups/,607
2016-11-13,Drinkware/Water Bottles and Tumblers/,2170
2016-11-13,Electronics/,2369
2016-11-13,Electronics/Audio/,1238
2016-11-13,Electronics/Electronics Accessories/,993
2016-11-13,Electronics/Flashlights/,296
2016-11-13,Electronics/Power/,641
2016-11-13,Gift Cards/,71
2016-11-13,Office/,3853
2016-11-13,Office/Notebooks & Journals/,2168
2016-11-13,Office/Office Other/,264
2016-11-13,Office/Writing Instruments/,1144
2016-11-13,Shop by Brand/,881
2016-11-13,Shop by Brand/Android/,1933
2016-11-13,Shop by Brand/Google/,3142
2016-11-13,Shop by Brand/YouTube/,11215
2016-11-13,Lifestyle,114
2016-11-13,Lifestyle/,72
2016-11-13,Office,277
2016-11-13,Tumblers,3
2016-11-13,Wearables/Men's T-Shirts/,12
2016-11-14,Accessories,16
2016-11-14,Apparel,882
2016-11-14,Backpacks,56
2016-11-14,Bags,313
2016-11-14,Bottles,55
2016-11-14,Drinkware,376
2016-11-14,Electronics,267
2016-11-14,Gift Cards,6
2016-11-14,Headgear,18
2016-11-14,Accessories/,3936
2016-11-14,Accessories/Fun/,5155
2016-11-14,Accessories/Housewares/,1326
2016-11-14,Accessories/Pet/,395
2016-11-14,Accessories/Sports & Fitness/,316
2016-11-14,Accessories/Stickers/,1403
2016-11-14,Apparel/,6583
2016-11-14,Apparel/Headgear/,1626
2016-11-14,Apparel/Kid's/,158
2016-11-14,Apparel/Kid's/Kid's-Infant/,816
2016-11-14,Apparel/Kid's/Kid's-Toddler/,963
2016-11-14,Apparel/Kid's/Kids-Youth/,619
2016-11-14,Apparel/Men's/,2057
2016-11-14,Apparel/Men's/Men's-Outerwear/,4319
2016-11-14,Apparel/Men's/Men's-Performance Wear/,1104
2016-11-14,Apparel/Men's/Men's-T-Shirts/,8943
2016-11-14,Apparel/Women's/,901
2016-11-14,Apparel/Women's/Women's-Outerwear/,1852
2016-11-14,Apparel/Women's/Women's-Performance Wear/,582
2016-11-14,Apparel/Women's/Women's-T-Shirts/,2648
2016-11-14,Bags/,3562
2016-11-14,Bags/Backpacks/,2469
2016-11-14,Bags/More Bags/,1060
2016-11-14,Bags/Shopping and Totes/,718
2016-11-14,Drinkware/,4316
2016-11-14,Drinkware/Mugs and Cups/,1025
2016-11-14,Drinkware/Water Bottles and Tumblers/,3387
2016-11-14,Electronics/,4845
2016-11-14,Electronics/Audio/,2451
2016-11-14,Electronics/Electronics Accessories/,1756
2016-11-14,Electronics/Flashlights/,545
2016-11-14,Electronics/Power/,993
2016-11-14,Gift Cards/,120
2016-11-14,Office/,4233
2016-11-14,Office/Notebooks & Journals/,3203
2016-11-14,Office/Office Other/,311
2016-11-14,Office/Writing Instruments/,2379
2016-11-14,Shop by Brand/,1206
2016-11-14,Shop by Brand/Android/,1980
2016-11-14,Shop by Brand/Google/,3948
2016-11-14,Shop by Brand/YouTube/,10778
2016-11-14,Housewares,33
2016-11-14,Lifestyle,355
2016-11-14,Lifestyle/,60
2016-11-14,More Bags,23
2016-11-14,Office,843
2016-11-14,Tumblers,6
2016-11-14,Waze,35
2016-11-14,Wearables/Men's T-Shirts/,48
2016-11-15,Accessories,55
2016-11-15,Apparel,1560
2016-11-15,Backpacks,36
2016-11-15,Bags,234
